MARK	EID	Epigenome_name	FRAGLEN
H3K36me3	E044										CD4+_CD25+_CD127-_Treg_Primary_Cells					   210
H3K36me3	E045										CD4+_CD25int_CD127+_Tmem_Primary_Cells					   220
H3K36me3	E046										CD56_Primary_Cells							   145
H3K36me3	E047										CD8_Naive_Primary_Cells							   200
H3K36me3	E048										CD8_Memory_Primary_Cells						   230
H3K36me3	E049										Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells 205
H3K36me3	E050										Mobilized_CD34_Primary_Cells_Female					   180
H3K36me3	E051										Mobilized_CD34_Primary_Cells_Male					   135
H3K36me3	E052										Muscle_Satellite_Cultured_Cells						   175
H3K36me3	E053										Neurosphere_Cultured_Cells_Cortex_Derived				   170
H3K36me3	E054										Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived			   175
H3K36me3	E055										Penis_Foreskin_Fibroblast_Primary_Cells_skin01				   190
H3K36me3	E056										Penis_Foreskin_Fibroblast_Primary_Cells_skin02				   135
H3K36me3	E057										Penis_Foreskin_Keratinocyte_Primary_Cells_skin02			   145
H3K36me3	E058										Penis_Foreskin_Keratinocyte_Primary_Cells_skin03			   190
H3K36me3	E059										Penis_Foreskin_Melanocyte_Primary_Cells_skin01				   165
H3K36me3	E061										Penis_Foreskin_Melanocyte_Primary_Cells_skin03				   180
H3K36me3	E062										Peripheral_Blood_Mononuclear_Primary_Cells				   180
H3K36me3	E063										Adipose_Nuclei								   175
H3K36me3	E065										Aorta									   130
H3K36me3	E066										Adult_Liver								   150
H3K36me3	E067										Brain_Angular_Gyrus							   180
H3K36me3	E068										Brain_Anterior_Caudate							   180
H3K36me3	E069										Brain_Cingulate_Gyrus							   180
H3K36me3	E070										Brain_Germinal_Matrix							   185
H3K36me3	E071										Brain_Hippocampus_Middle						   240
H3K36me3	E072										Brain_Inferior_Temporal_Lobe						   190
H3K36me3	E073										Brain_Mid_Frontal_Lobe							   180
H3K36me3	E074										Brain_Substantia_Nigra							   145
H3K36me3	E075										Colonic_Mucosa								   140
H3K36me3	E076										Colon_Smooth_Muscle							   220
H3K36me3	E077										Duodenum_Mucosa								   180
H3K36me3	E078										Duodenum_Smooth_Muscle							   225
H3K36me3	E079										Esophagus								   135
H3K36me3	E080										Fetal_Adrenal_Gland							   170
H3K36me3	E081										Fetal_Brain_Male							   185
H3K36me3	E082										Fetal_Brain_Female							   185
H3K36me3	E083										Fetal_Heart								   90
H3K36me3	E084										Fetal_Intestine_Large							   165
H3K36me3	E085										Fetal_Intestine_Small							   180
H3K36me3	E086										Fetal_Kidney								   140
H3K36me3	E087										Pancreatic_Islets							   165
H3K36me3	E088										Fetal_Lung								   170
H3K36me3	E089										Fetal_Muscle_Trunk							   165
H3K36me3	E090										Fetal_Muscle_Leg							   165
H3K36me3	E091										Fetal_Placenta								   160
H3K36me3	E092										Fetal_Stomach								   165
H3K36me3	E093										Fetal_Thymus								   155
H3K36me3	E094										Gastric									   150
H3K36me3	E095										Left_Ventricle								   150
H3K36me3	E096										Lung									   110
H3K36me3	E097										Ovary									   110
H3K36me3	E098										Pancreas								   125
H3K36me3	E099										Placenta_Amnion								   195
H3K36me3	E100										Psoas_Muscle								   155
H3K36me3	E101										Rectal_Mucosa.Donor_29							   145
H3K36me3	E102										Rectal_Mucosa.Donor_31							   140
H3K36me3	E103										Rectal_Smooth_Muscle							   145
H3K36me3	E104										Right_Atrium								   90
H3K36me3	E105										Right_Ventricle								   150
H3K36me3	E106										Sigmoid_Colon								   150
H3K36me3	E107										Skeletal_Muscle_Male							   155
H3K36me3	E108										Skeletal_Muscle_Female							   180
H3K36me3	E109										Small_Intestine								   145
H3K36me3	E110										Stomach_Mucosa								   230
H3K36me3	E111										Stomach_Smooth_Muscle							   160
H3K36me3	E112										Thymus									   100
H3K36me3	E113										Spleen									   145
H3K36me3	E114										A549_EtOH_0.02pct_Lung_Carcinoma					   215
H3K36me3	E115										Dnd41_TCell_Leukemia							   145
H3K36me3	E116										GM12878_Lymphoblastoid							   180
H3K36me3	E117										HeLa-S3_Cervical_Carcinoma						   110
H3K36me3	E118										HepG2_Hepatocellular_Carcinoma						   185
